instance,alg,candName,targName,conf,realConf,order,AMC_Token_Path,Ontobuilder_Term_Match,WordNet_Jiang_Conrath
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.country,PO.Contact,0.99998,0,15,0.294230759,0.99998,0.073268932
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street3,PO.POBillTo.street3,1,0,16,0.5368132,1,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.stateProvince,PO.POBillTo.stateProvince,1,0,17,0.614880919,1,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.postalCode,PO.POShipTo.postalCode,1,1,18,0.645436466,1,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.postalCode,PO.POBillTo.postalCode,1,0,19,0.645436466,1,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.country,PO.POShipTo.country,1,1,20,0.535860777,1,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.country,PO.POBillTo.country,1,0,21,0.522527456,1,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.city,PO.POShipTo.city,1,1,22,0.527289391,1,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.city,PO.POBillTo.city,1,0,23,0.524670303,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact,PO.Contact,1,1,24,0.499529064,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact.contactName,PO.Contact.contactName,1,1,25,0.637301624,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street1,PO.POShipTo.street1,1,0,26,0.53681314,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street1,PO.POBillTo.street1,1,1,27,0.53681314,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street2,PO.POShipTo.street2,1,0,28,0.53681314,1,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street2,PO.POBillTo.street2,1,0,29,0.53681314,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street2,PO.POBillTo.street2,1,1,30,0.53681314,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street3,PO.POShipTo.street3,1,0,31,0.53681314,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street3,PO.POBillTo.street3,1,1,32,0.5368132,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street4,PO.POShipTo.street4,1,0,33,0.53681314,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street4,PO.POBillTo.street4,1,1,34,0.53681314,1,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street4,PO.POShipTo.street4,1,1,35,0.53681314,1,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street4,PO.POBillTo.street4,1,0,36,0.53681314,1,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.stateProvince,PO.POShipTo.stateProvince,1,1,37,0.619642794,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.stateProvince,PO.POShipTo.stateProvince,1,0,38,0.638988078,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.stateProvince,PO.POBillTo.stateProvince,1,1,39,0.634226203,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.postalCode,PO.POShipTo.postalCode,1,0,40,0.657341242,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.postalCode,PO.POBillTo.postalCode,1,1,41,0.657341242,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.country,PO.POShipTo.country,1,0,42,0.535860777,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.country,PO.POBillTo.country,1,1,43,0.522527456,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.city,PO.POShipTo.city,1,0,44,0.527289391,1,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.city,PO.POBillTo.city,1,1,45,0.524670303,1,1
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact,PO.Contact,1,1,46,0.42564106,1,1
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact.contactName,PO.Contact.contactName,1,1,47,0.622916698,1,1
Excel2CIDX,exactMatch,PurchaseOrder.Items,PO.POLines.Item,0.99998,0,48,0.42564103,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact,PO.POShipTo.country,0.99998,0,49,0.453601956,0.99998,0.073268932
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact,PO.POBillTo.country,0.99998,0,50,0.453601956,0.99998,0.073268932
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact,PO.POLines.count,0.99998,0,51,0.38351649,0.99998,0.062204842
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street1,PO.POShipTo.street2,0.99998,1,52,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street1,PO.POShipTo.street3,0.99998,1,53,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street1,PO.POShipTo.street4,0.99998,1,54,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street1,PO.POBillTo.street2,0.99998,0,55,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street1,PO.POBillTo.street3,0.99998,0,56,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street1,PO.POBillTo.street4,0.99998,0,57,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street2,PO.POShipTo.street1,0.99998,1,58,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street2,PO.POShipTo.street3,0.99998,1,59,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street2,PO.POShipTo.street4,0.99998,1,60,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street2,PO.POBillTo.street1,0.99998,0,61,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street2,PO.POBillTo.street3,0.99998,0,62,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street2,PO.POBillTo.street4,0.99998,0,63,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street3,PO.POShipTo.street1,0.99998,1,64,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street3,PO.POShipTo.street2,0.99998,1,65,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street3,PO.POShipTo.street4,0.99998,1,66,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street3,PO.POBillTo.street1,0.99998,0,67,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street3,PO.POBillTo.street2,0.99998,0,68,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street3,PO.POBillTo.street4,0.99998,0,69,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street4,PO.POShipTo.street1,0.99998,1,70,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street4,PO.POShipTo.street2,0.99998,1,71,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street4,PO.POShipTo.street3,0.99998,1,72,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street4,PO.POBillTo.street1,0.99998,0,73,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street4,PO.POBillTo.street2,0.99998,0,74,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street4,PO.POBillTo.street3,0.99998,0,75,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.country,PO.Contact,0.99998,0,76,0.276373625,0.99998,0.073268932
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.country,PO.POLines.count,0.99998,0,77,0.43614164,0.99998,0.06462913
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact,PO.POShipTo.country,0.99998,0,78,0.453601956,0.99998,0.073268932
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact,PO.POBillTo.country,0.99998,0,79,0.453601956,0.99998,0.073268932
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact,PO.POLines.count,0.99998,0,80,0.319230765,0.99998,0.062204842
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street1,PO.POShipTo.street2,0.99998,0,81,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street1,PO.POShipTo.street3,0.99998,0,82,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street1,PO.POShipTo.street4,0.99998,0,83,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street1,PO.POBillTo.street2,0.99998,1,84,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street1,PO.POBillTo.street3,0.99998,1,85,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street1,PO.POBillTo.street4,0.99998,1,86,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street2,PO.POShipTo.street1,0.99998,0,87,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street2,PO.POShipTo.street3,0.99998,0,88,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street2,PO.POShipTo.street4,0.99998,0,89,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street2,PO.POBillTo.street1,0.99998,1,90,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street2,PO.POBillTo.street3,0.99998,1,91,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street2,PO.POBillTo.street4,0.99998,1,92,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street3,PO.POShipTo.street1,0.99998,0,93,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street3,PO.POShipTo.street2,0.99998,0,94,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street3,PO.POShipTo.street4,0.99998,0,95,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street3,PO.POBillTo.street1,0.99998,1,96,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street3,PO.POBillTo.street2,0.99998,1,97,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street3,PO.POBillTo.street4,0.99998,1,98,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street4,PO.POShipTo.street1,0.99998,0,99,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street4,PO.POShipTo.street2,0.99998,0,100,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street4,PO.POShipTo.street3,0.99998,0,101,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street4,PO.POBillTo.street1,0.99998,1,102,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street4,PO.POBillTo.street2,0.99998,1,103,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street4,PO.POBillTo.street3,0.99998,1,104,0.508241773,0.99998,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.country,PO.POLines.count,0.99998,0,105,0.388522565,0.99998,0.06462913
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact,PO.POShipTo.country,0.99998,0,106,0.245570064,0.99998,0.073268932
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact,PO.POBillTo.country,0.99998,0,107,0.229945064,0.99998,0.073268932
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact,PO.POLines.count,0.99998,0,108,0.253950804,0.99998,0.062204842
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact.contactName,PO.Contact,0.672727273,0,109,0.454945058,0.672727273,0.536468706
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact.contactName,PO.Contact,0.672727273,0,110,0.472802192,0.672727273,0.536468706
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact.contactName,PO.Contact,0.672727273,0,111,0.40565151,0.672727273,0.536468706
Excel2CIDX,exactMatch,PurchaseOrder.Header,PO.POHeader,0.65,1,112,0.570769191,0.65,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact.contactName,PO.Contact.contactPhone,0.644069264,0,113,0.486507952,0.644069264,0.53652447
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact.contactName,PO.Contact.contactPhone,0.644069264,0,114,0.502380967,0.644069264,0.53652447
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact.contactName,PO.Contact.contactPhone,0.644069264,0,115,0.450297624,0.644069264,0.53652447
Excel2CIDX,exactMatch,PurchaseOrder.Items.Item.partNumber,PO.POHeader.poNumber,0.6425,0,116,0.424501449,0.6425,0.556472922
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactName,0.619155844,0,117,0.484821439,0.619155844,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact,PO.Contact.contactName,0.619155844,0,118,0.502678573,0.619155844,1
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact,PO.Contact.contactName,0.619155844,0,119,0.47380951,0.619155844,1
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact.contactName,PO.Contact.contactEmail,0.613333333,0,120,0.442490876,0.613333333,0.536468706
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact.contactName,PO.Contact.contactEmail,0.613333333,0,121,0.400778383,0.613333333,0.536468706
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactPhone,0.607705628,0,122,0.51160717,0.607705628,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact,PO.Contact.contactPhone,0.607705628,0,123,0.529464304,0.607705628,1
Excel2CIDX,exactMatch,PurchaseOrder.Items.itemCount,PO.POLines.count,0.6,1,124,0.469230771,0.6,0.529747916
Excel2CIDX,exactMatch,PurchaseOrder.Items.itemCount,PO.POShipTo.country,0.584761905,0,125,0.324664235,0.584761905,0.069277706
Excel2CIDX,exactMatch,PurchaseOrder.Items.itemCount,PO.POBillTo.country,0.584761905,0,126,0.307570189,0.584761905,0.069277706
Excel2CIDX,exactMatch,PurchaseOrder.Items.Item.itemNumber,PO.POHeader.poNumber,0.58,0,127,0.440064102,0.58,0.537404202
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactEmail,0.578095238,0,128,0.454945028,0.578095238,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact,PO.Contact.contactEmail,0.578095238,0,129,0.454945058,0.578095238,1
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact,PO.Contact.contactEmail,0.578095238,0,130,0.412454218,0.578095238,1
Excel2CIDX,exactMatch,PurchaseOrder.Items.Item.partNumber,PO.POLines.Item.partNo,0.56,1,131,0.571074367,0.56,0.556472922
Excel2CIDX,exactMatch,PurchaseOrder.Header.orderDate,PO.POHeader.poDate,0.512222222,1,132,0.70714283,0.512222222,0.533025853
Excel2CIDX,exactMatch,PurchaseOrder.Items.itemCount,PO.POLines.Item,0.511111111,0,133,0.494230807,0.511111111,0.529747916
Excel2CIDX,exactMatch,PurchaseOrder.Items.Item.itemNumber,PO.POLines.Item,0.5,0,134,0.490064144,0.5,0.537404202
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact.e-mail,PO.Contact.contactEmail,0.5,1,135,0.534670353,0.5,0
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact.e-mail,PO.Contact.contactEmail,0.5,1,136,0.534670353,0.5,0
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact.e-mail,PO.Contact.contactEmail,0.5,1,137,0.507834792,0.5,0
Excel2CIDX,exactMatch,PurchaseOrder.Items.itemCount,PO.Contact,0.49998,0,138,0.242386177,0.49998,0.064472794
Excel2CIDX,exactMatch,PurchaseOrder.Items.Item.unitPrice,PO.POLines.Item.uom,0.49998,0,139,0.445384651,0.49998,0
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact.contactName,PO.POShipTo.country,0.49998,0,140,0.422527462,0.49998,0.077437392
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact.contactName,PO.POBillTo.country,0.49998,0,141,0.422527462,0.49998,0.077437392
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact.contactName,PO.POLines.count,0.49998,0,142,0.363125741,0.49998,0.065866651
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street1,PO.POLines.startAt,0.49998,0,143,0.368717939,0.49998,0.081591838
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street2,PO.POLines.startAt,0.49998,0,144,0.368717939,0.49998,0.081591838
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street3,PO.POLines.startAt,0.49998,0,145,0.368717939,0.49998,0.081591838
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.street4,PO.POLines.startAt,0.49998,0,146,0.368717939,0.49998,0.081591838
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.postalCode,PO.POShipTo.city,0.49998,0,147,0.37821275,0.49998,0.03362854
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.postalCode,PO.POBillTo.city,0.49998,0,148,0.36609152,0.49998,0.03362854
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.country,PO.Contact.contactName,0.49998,0,149,0.315873027,0.49998,0.081605852
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.country,PO.Contact.contactEmail,0.49998,0,150,0.277411461,0.49998,0.073268932
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.country,PO.Contact.contactPhone,0.49998,0,151,0.343650788,0.49998,0.073268932
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.city,PO.POShipTo.postalCode,0.49998,0,152,0.420129865,0.49998,0.06725708
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.city,PO.POBillTo.postalCode,0.49998,0,153,0.429870129,0.49998,0.06725708
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact.contactName,PO.POShipTo.country,0.49998,0,154,0.422527462,0.49998,0.077437392
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact.contactName,PO.POBillTo.country,0.49998,0,155,0.422527462,0.49998,0.077437392
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact.contactName,PO.POLines.count,0.49998,0,156,0.305982918,0.49998,0.065866651
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street1,PO.POLines.startAt,0.49998,0,157,0.325860798,0.49998,0.081591838
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street2,PO.POLines.startAt,0.49998,0,158,0.325860798,0.49998,0.081591838
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street3,PO.POLines.startAt,0.49998,0,159,0.325860798,0.49998,0.081591838
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.street4,PO.POLines.startAt,0.49998,0,160,0.325860798,0.49998,0.081591838
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.postalCode,PO.POShipTo.city,0.49998,0,161,0.37821272,0.49998,0.03362854
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.country,PO.Contact.contactName,0.49998,0,162,0.335714281,0.49998,0.081605852
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.country,PO.Contact.contactEmail,0.49998,0,163,0.277411461,0.49998,0.073268932
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.country,PO.Contact.contactPhone,0.49998,0,164,0.359523803,0.49998,0.073268932
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.city,PO.POShipTo.postalCode,0.49998,0,165,0.433116883,0.49998,0.06725708
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.city,PO.POBillTo.postalCode,0.49998,0,166,0.442857146,0.49998,0.06725708
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact.contactName,PO.POShipTo.country,0.49998,0,167,0.234157503,0.49998,0.077437392
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact.contactName,PO.POBillTo.country,0.49998,0,168,0.220268622,0.49998,0.077437392
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact.contactName,PO.POLines.count,0.49998,0,169,0.247206956,0.49998,0.065866651
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact.companyName,PO.Contact.contactName,0.496796537,0,170,0.60214287,0.496796537,0.540397601
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact.companyName,PO.Contact.contactName,0.496796537,0,171,0.616428554,0.496796537,0.540397601
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact.companyName,PO.Contact.contactName,0.496796537,0,172,0.60132277,0.496796537,0.540397601
Excel2CIDX,exactMatch,PurchaseOrder.Header.orderNum,PO.POHeader.poNumber,0.493333333,1,173,0.550549448,0.493333333,0.536885304
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.city,PO.POLines.Item.qty,0.477777778,0,174,0.378241777,0.477777778,0
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.city,PO.POLines.Item.qty,0.477777778,0,175,0.331813186,0.477777778,0
Excel2CIDX,exactMatch,PurchaseOrder.Items.Item,PO.POShipTo.city,0.466666667,0,176,0.207211539,0.466666667,0.07293483
Excel2CIDX,exactMatch,PurchaseOrder.Items.Item,PO.POBillTo.city,0.466666667,0,177,0.187980771,0.466666667,0.07293483
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Address.city,PO.POLines.Item,0.466666667,0,178,0.336935312,0.466666667,0.07293483
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Address.city,PO.POLines.Item,0.466666667,0,179,0.285347998,0.466666667,0.07293483
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact.contactName,PO.Contact.contactFunctionCode,0.456492293,0,180,0.472857147,0.456492293,0.565658318
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact.contactName,PO.Contact.contactFunctionCode,0.456492293,0,181,0.487142861,0.456492293,0.565658318
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact.contactName,PO.Contact.contactFunctionCode,0.456492293,0,182,0.45767197,0.456492293,0.565658318
Excel2CIDX,exactMatch,PurchaseOrder.Items.Item.yourPartnerNumber,PO.POHeader.poNumber,0.450462185,0,183,0.410622686,0.450462185,1
Excel2CIDX,exactMatch,PurchaseOrder.Header.ourAccountCode,PO.POLines.count,0.446886447,0,184,0.355453819,0.446886447,0.058186944
Excel2CIDX,exactMatch,PurchaseOrder.Items.Item.unitOfMeasure,PO.POLines.Item.unitPrice,0.439242424,0,185,0.579960287,0.439242424,0.544343557
Excel2CIDX,exactMatch,PurchaseOrder.DeliverTo.Contact,PO.Contact.contactFunctionCode,0.432962881,0,186,0.493650794,0.432962881,1
Excel2CIDX,exactMatch,PurchaseOrder.InvoiceTo.Contact,PO.Contact.contactFunctionCode,0.432962881,0,187,0.509523809,0.432962881,1
Excel2CIDX,exactMatch,PurchaseOrder.Header.Contact,PO.Contact.contactFunctionCode,0.432962881,0,188,0.479166627,0.432962881,1
Excel2CIDX,exactMatch,PurchaseOrder.Header.yourAccountCode,PO.POLines.count,0.428571429,0,189,0.355453819,0.428571429,0.058186944
Excel2CIDX,exactMatch,PurchaseOrder.Header.ourAccountCode,PO.POShipTo.country,0.427838828,0,190,0.277884603,0.427838828,0.071955664
Excel2CIDX,exactMatch,PurchaseOrder.Header.ourAccountCode,PO.POBillTo.country,0.427838828,0,191,0.265384614,0.427838828,0.071955664
Excel2CIDX,exactMatch,PurchaseOrder.Header.ourAccountCode,PO.Contact.contactFunctionCode,0.42728709,0,192,0.430476189,0.42728709,1
Excel2CIDX,exactMatch,PurchaseOrder.Header.yourAccountCode,PO.Contact.contactFunctionCode,0.42728709,0,193,0.430476189,0.42728709,1
Excel2CIDX,exactMatch,PurchaseOrder.Header.yourAccountCode,PO.POShipTo.country,0.40952381,0,194,0.277884603,0.40952381,0.071955664
